date (UTC),# open pr,# close pr,# open issue,# close issue
2022-04-28,1,1,1,0
2022-04-29,1,1,0,0
2022-04-30,1,0,0,0
2022-05-02,1,0,0,0
2022-05-03,1,2,0,0
2022-05-05,0,0,1,0
2022-05-06,2,1,0,0
2022-05-09,0,0,1,0
2022-05-11,1,2,0,0
2022-05-12,2,2,0,0
2022-05-13,4,2,1,2
2022-05-16,0,1,0,0
2022-05-17,2,0,0,0
2022-05-18,2,5,0,0
2022-05-19,1,0,1,0
2022-05-20,0,1,0,0
2022-05-26,1,0,0,0
2022-05-27,1,0,0,0
2022-05-31,2,2,0,0
2022-06-01,1,2,0,0
2022-06-02,2,1,2,0
2022-06-03,5,6,0,0
2022-06-04,0,1,1,0
2022-06-05,0,0,0,1
2022-06-06,1,0,0,1
2022-06-07,2,3,0,0
2022-06-08,2,2,0,0
2022-06-09,1,0,0,0
2022-06-10,3,2,1,0
2022-06-12,1,1,1,1
2022-06-14,1,1,0,0
2022-06-15,1,1,0,0
2022-06-16,0,1,0,0
2022-06-17,3,4,1,0
2022-06-18,1,1,0,0
2022-06-20,1,2,0,0
2022-06-21,0,0,1,0
2022-06-22,0,0,1,0
2022-06-23,1,0,0,0
2022-06-24,0,1,1,0
2022-06-25,0,0,1,0
2022-06-26,0,0,1,0
2022-06-27,0,0,2,0
2022-06-28,2,2,1,4
2022-06-30,1,0,0,0
2022-07-01,0,1,0,0
2022-07-05,0,0,1,0
2022-07-06,2,0,1,0
2022-07-07,3,2,0,1
2022-07-08,0,0,1,0
2022-07-09,0,1,0,0
2022-07-11,7,7,3,2
2022-07-13,1,1,0,1
2022-07-14,2,2,0,1
2022-07-15,2,3,0,1
2022-07-19,0,0,1,0
2022-07-20,1,0,2,1
2022-07-22,0,0,1,0
2022-07-25,0,1,0,0
2022-07-27,2,1,1,0
2022-07-28,2,1,1,0
2022-07-29,3,3,0,0
2022-07-30,2,2,0,0
2022-08-01,2,1,1,0
2022-08-02,0,2,0,2
2022-08-03,0,0,1,1
2022-08-05,6,6,0,0
2022-08-07,2,2,1,1
2022-08-08,1,2,1,0
2022-08-09,0,0,0,2
2022-08-10,1,1,0,2
2022-08-14,0,0,1,0
2022-08-15,0,0,1,0
2022-08-16,3,1,0,0
2022-08-17,1,0,0,0
2022-08-26,1,0,0,0
2022-08-27,3,4,0,0
2022-08-28,1,1,0,0
2022-08-29,1,0,2,0
2022-08-30,0,0,1,0
2022-08-31,1,1,0,0
2022-09-01,2,2,0,0
2022-09-02,1,1,0,0
2022-09-08,1,1,0,0
2022-09-10,1,0,0,0
2022-09-11,1,0,0,0
2022-09-13,1,4,0,0
2022-09-14,1,1,0,0
2022-09-18,0,0,1,0
2022-09-22,0,0,2,1
2022-09-23,1,2,0,0
2022-09-24,1,0,0,0
2022-09-27,4,3,0,0
2022-09-28,0,0,1,0
2022-09-29,0,0,2,0
2022-09-30,1,0,0,0
2022-10-03,2,1,1,1
2022-10-04,1,3,2,1
2022-10-05,0,0,1,0
2022-10-06,0,2,0,0
2022-10-07,1,0,0,0
2022-10-11,1,1,1,1
2022-10-12,5,3,1,3
2022-10-13,0,4,0,1
2022-10-14,0,0,0,2
2022-10-15,0,0,1,0
2022-10-16,0,0,1,0
2022-10-17,2,1,0,0
2022-10-18,0,1,1,2
2022-10-21,2,1,0,0
2022-10-22,0,0,1,0
2022-10-24,1,0,1,1
2022-10-25,0,0,1,0
2022-10-26,1,0,2,0
2022-10-27,4,2,4,0
2022-10-28,1,2,0,2
2022-10-29,0,1,0,0
2022-10-30,1,0,1,0
2022-10-31,10,11,2,4
2022-11-01,3,5,0,1
2022-11-02,2,2,2,0
2022-11-03,3,0,1,0
2022-11-04,2,1,2,1
2022-11-05,1,1,0,0
2022-11-06,0,1,0,0
2022-11-07,0,3,1,1
2022-11-08,2,3,0,0
2022-11-09,1,0,0,0
2022-11-11,5,4,0,3
2022-11-12,0,1,1,1
2022-11-13,0,1,0,1
2022-11-14,1,1,0,0
2022-11-16,2,3,0,0
2022-11-17,1,1,1,1
2022-11-18,1,1,0,1
2022-11-20,1,1,1,0
2022-11-21,1,0,0,0
2022-11-22,1,2,0,0
2022-11-23,0,0,1,0
2022-11-24,2,2,0,0
2022-11-28,0,0,1,0
2022-11-30,3,2,1,1
2022-12-01,2,0,0,0
2022-12-02,3,3,0,1
2022-12-03,1,1,0,0
2022-12-04,1,1,0,0
2022-12-05,0,0,1,0
2022-12-06,0,1,0,0
2022-12-08,0,0,0,1
2022-12-09,2,2,1,0
2022-12-10,0,0,1,0
2022-12-12,0,0,1,0
2022-12-14,1,1,0,0
2022-12-15,0,0,1,1
2022-12-16,0,0,2,0
2022-12-19,1,1,1,0
2022-12-20,1,0,1,0
2022-12-23,0,0,1,0
2022-12-31,1,1,0,0
2023-01-03,0,0,1,0
2023-01-04,2,2,0,0
2023-01-07,3,0,0,1
2023-01-09,0,1,0,0
2023-01-10,1,1,0,0
2023-01-16,1,1,0,0
2023-01-17,0,0,0,1
2023-01-18,1,1,0,0
2023-01-19,0,0,1,0
2023-01-21,0,1,0,0
2023-01-22,1,0,0,0
2023-01-24,0,1,1,0
2023-01-25,0,1,0,1
2023-01-26,0,0,0,1
2023-01-29,2,1,1,1
2023-02-01,2,1,0,0
2023-02-02,5,6,0,0
2023-02-04,1,0,0,0
2023-02-06,0,0,0,1
2023-02-08,1,1,2,0
2023-02-09,1,0,0,0
2023-02-10,1,0,0,0
2023-02-11,5,6,1,4
2023-02-12,0,0,1,0
2023-02-13,0,1,1,3
2023-02-14,4,1,1,0
2023-02-18,1,1,0,0
2023-02-21,0,0,1,0
2023-02-22,0,0,1,0
2023-02-23,1,1,0,0
2023-02-26,0,0,1,0
2023-02-28,0,0,1,0
2023-03-01,1,0,0,0
